# frequency  DOS
#THz  number
-1.74551e-06 0.00226184
0.489195 0.00572111
0.978392 0.0075838
1.46759 0.00798295
1.95679 0.00878124
2.44598 0.00931344
2.93518 0.0101117
3.42438 0.0103778
3.91357 0.0105109
4.40277 0.010777
4.89197 0.0113092
5.38116 0.0118414
5.87036 0.0118414
6.35956 0.0122405
6.84875 0.0125066
7.33795 0.0127727
7.82715 0.0131719
8.31634 0.0138371
8.80554 0.0145024
9.29474 0.0154337
9.78394 0.0166311
10.2731 0.0171633
10.7623 0.0170303
11.2515 0.0168972
11.7407 0.0170303
12.2299 0.016232
12.7191 0.016365
13.2083 0.0155667
13.6975 0.016232
14.1867 0.0156998
14.6759 0.0150346
15.1651 0.0147685
15.6543 0.0160989
16.1435 0.0159659
16.6327 0.016365
17.1219 0.0178286
17.6111 0.0186269
18.1003 0.019026
18.5895 0.0198243
19.0787 0.0198243
19.5679 0.0198243
20.0571 0.0199574
20.5463 0.0194252
21.0355 0.0191591
21.5247 0.019026
22.0139 0.0192921
22.5031 0.0192921
22.9923 0.0195582
23.4814 0.0194252
23.9706 0.0195582
24.4598 0.0199574
24.949 0.0200904
25.4382 0.0202235
25.9274 0.0203565
26.4166 0.0202235
26.9058 0.0203565
27.395 0.0207557
27.8842 0.0206226
28.3734 0.0204896
28.8626 0.0207557
29.3518 0.0207557
29.841 0.0203565
30.3302 0.0203565
30.8194 0.0196913
31.3086 0.0195582
31.7978 0.0196913
32.287 0.0203565
32.7762 0.0218201
33.2654 0.0230175
33.7546 0.0236827
34.2438 0.0250132
34.733 0.0252793
35.2222 0.0256785
35.7114 0.0255454
36.2006 0.0256785
36.6898 0.0247471
37.179 0.0247471
37.6682 0.024348
38.1574 0.0235497
38.6466 0.0232836
39.1357 0.0224853
39.6249 0.0219531
40.1141 0.021554
40.6033 0.0206226
41.0925 0.0202235
41.5817 0.0195582
42.0709 0.0186269
42.5601 0.0180947
43.0493 0.0174294
43.5385 0.0167642
44.0277 0.016232
44.5169 0.0156998
45.0061 0.0149015
45.4953 0.0146354
45.9845 0.0139702
46.4737 0.0133049
46.9629 0.0131719
47.4521 0.0125066
47.9413 0.0118414
48.4305 0.0117083
48.9197 0.01091
49.4089 0.0106439
49.8981 0.0101117
50.3873 0.00984564
50.8765 0.00931344
51.3657 0.00864819
51.8549 0.00824905
52.3441 0.0078499
52.8333 0.0075838
53.3225 0.00678551
53.8117 0.00691855
54.3009 0.00638636
54.79 0.00625331
55.2792 0.00585416
55.7684 0.00572111
56.2576 0.00558806
56.7468 0.00518892
57.236 0.00572111
57.7252 0.00518892
58.2144 0.00518892
58.7036 0.00505587
59.1928 0.00492282
59.682 0.00478977
60.1712 0.00478977
60.6604 0.00505587
61.1496 0.00465672
61.6388 0.00452367
62.128 0.00478977
62.6172 0.00439062
63.1064 0.00439062
63.5956 0.00439062
64.0848 0.00425757
64.574 0.00412452
65.0632 0.00425757
65.5524 0.00359233
66.0416 0.00399147
66.5308 0.00359233
67.02 0.00345928
67.5092 0.00345928
67.9984 0.00332623
68.4876 0.00279403
68.9768 0.00319318
69.466 0.00279403
69.9552 0.00266098
70.4443 0.00239488
70.9335 0.00226184
71.4227 0.00239488
71.9119 0.00199574
72.4011 0.00199574
72.8903 0.00212879
73.3795 0.00199574
73.8687 0.00172964
74.3579 0.00186269
74.8471 0.00159659
75.3363 0.00172964
75.8255 0.00159659
76.3147 0.00159659
76.8039 0.00146354
77.2931 0.00133049
77.7823 0.00146354
78.2715 0.00133049
78.7607 0.00119744
79.2499 0.00146354
79.7391 0.00133049
80.2283 0.00119744
80.7175 0.00106439
81.2067 0.00119744
81.6959 0.000931344
82.1851 0.00106439
82.6743 0.00106439
83.1635 0.00106439
83.6527 0.000931344
84.1419 0.000798295
84.6311 0.000931344
85.1203 0.000798295
85.6094 0.000931344
86.0986 0.000665246
86.5878 0.000665246
87.077 0.000798295
87.5662 0.000798295
88.0554 0.000665246
88.5446 0.000798295
89.0338 0.000399147
89.523 0.000798295
90.0122 0.000399147
90.5014 0.000399147
90.9906 0.000532197
91.4798 0.000532197
91.969 0.000665246
92.4582 0.000532197
92.9474 0.000266098
93.4366 0.000399147
93.9258 0.000399147
94.415 0.000266098
94.9042 0.000399147
95.3934 0.000266098
95.8826 0.000399147
96.3718 0
96.861 0.000266098
97.3502 0.000266098
97.8394 0.000133049
